,fighter_name,height,weight
532,Chris Heatherly,175.26,70.37
533,Chris Herrera,177.8,83.99000000000001
534,Chris Holdsworth,180.34,61.29
535,Chris Honeycutt,177.8,77.18
536,Chris Horodecki,175.26,70.37
537,Chris Indich,177.8,77.18
538,Chris Jones,175.26,67.646
539,Chris Kelades,170.18,56.75
540,Chris Leben,180.34,83.99000000000001
541,Chris Liguori,175.26,83.99000000000001
542,Chris Lytle,180.34,77.18
543,Chris Manuel,175.26,61.29
544,Chris Mickle,175.26,65.83
545,Chris Mierzwiak,185.42,83.99000000000001
546,Chris Price,187.96,83.99000000000001
547,Chris Sanford,180.34,83.99000000000001
548,Chris Saunders,172.72,70.37
549,Chris Solomon,180.34,70.37
550,Chris Spang,187.96,77.18
551,Chris Tickle,175.26,70.37
552,Chris Tuchscherer,187.96,117.132
553,Chris Wade,177.8,70.37
554,Chris Weidman,187.96,83.99000000000001
555,Chris Wilson,185.42,77.18
556,Chris Yee,175.26,83.99000000000001
557,Chris de la Rocha,190.5,113.5
558,Christian Colombo,195.57999999999998,120.31
559,Christian Lohsen,187.96,70.37
560,Christian Morecraft,198.12,118.04
561,Christian Ocon,172.72,61.29
562,Christian Uflacker,180.34,77.18
563,Christian Wellisch,187.96,106.236
564,Christina Marks,170.18,56.75
565,Christophe Leninger,182.88,90.8
566,Christopher Lopez,177.8,77.18
567,Christos Giagos,177.8,70.37
568,Chuck Grigsby,198.12,93.07000000000001
569,Chuck Liddell,187.96,93.07000000000001
570,Chuck O'Neil,187.96,77.18
571,Cindy Dandois,170.18,61.29
572,Ciryl Gane,195.57999999999998,120.31
573,Claude Patrick,180.34,77.18
574,Claudia Gadelha,162.56,52.21
575,Claudio Puelles,180.34,70.37
576,Claudio Silva,180.34,77.18
577,Claudionor Fontinelle,165.1,83.99000000000001
578,Clay Collard,180.34,65.83
579,Clay French,170.18,73.09400000000001
580,Clay Guida,170.18,70.37
581,Clay Harvison,185.42,77.18
582,Clay Mitchell,187.96,83.99000000000001
583,Cleber Luciano,167.64000000000001,70.37
584,Clifford Starks,182.88,83.99000000000001
585,Clint Godfrey,167.64000000000001,61.29
586,Clint Hester,187.96,93.07000000000001
587,Codale Ford,175.26,77.18
588,Cody Canterbury,172.72,70.37
589,Cody Carrillo,177.8,70.37
590,Cody Donovan,190.5,93.07000000000001
591,Cody East,190.5,111.23
592,Cody Garbrandt,172.72,61.29
593,Cody Gibson,177.8,61.29
594,Cody McKenzie,182.88,70.37
595,Cody Pfister,177.8,70.37
596,Cody Sons,175.26,93.07000000000001
597,Cody Stamann,167.64000000000001,61.29
598,Colby Covington,180.34,77.18
599,Cole Escovedo,170.18,61.29
600,Cole Miller,185.42,65.83
601,Cole Province,175.26,65.83
602,Cole Smith,180.34,61.29
603,Colin Fletcher,187.96,70.37
604,Colin Robinson,193.04,110.322
605,Colley  Bradford,170.18,65.83
606,Collin Hart,185.42,83.99000000000001
607,Colton Smith,182.88,70.37
608,Conor Heun,177.8,70.37
609,Conor McGregor,175.26,70.37
610,Corey Anderson,190.5,93.07000000000001
611,Corey Hill,193.04,70.37
612,Cortez Coleman,185.42,83.99000000000001
613,Cortney Casey,170.18,52.21
614,Cory Devela,152.4,83.99000000000001
615,Cory Hendricks,190.5,93.07000000000001
616,Cory Peterson,210.82,181.6
617,Cory Sandhagen,180.34,61.29
618,Cory Walmsley,182.88,93.07000000000001
619,Costas Philippou,180.34,83.99000000000001
620,Coty Wheeler,167.64000000000001,61.29
621,Court McGee,180.34,77.18
622,Courtney Buck,177.8,61.29
623,Courtney Turner,187.96,77.18
624,Crafton Wallace,182.88,83.99000000000001
625,Craig Oxley,175.26,70.37
626,Craig White,187.96,77.18
627,Craig Zellner,187.96,93.07000000000001
628,Cris Cyborg,172.72,65.83
629,Cristiano Marcello,175.26,70.37
630,Cristina Stanciu,160.02,52.21
631,Crosley Gracie,175.26,86.26
632,Cub Swanson,172.72,65.83
633,Cung Le,175.26,83.99000000000001
634,Curt Warburton,182.88,70.37
635,Curtis Blaydes,193.04,120.31
636,Curtis Millender,187.96,77.18
637,Curtis Stout,185.42,83.99000000000001
638,Cynthia Calvillo,162.56,52.21
639,Cyril Asker,182.88,112.138
640,Cyrille Diabate,198.12,93.07000000000001
641,Cyrillo Padilha,180.34,70.37
642,Da Un Jung,190.5,93.07000000000001
643,DaMarques Johnson,185.42,77.18
644,Dae Won Kim,180.34,81.72
645,Daichi Abe,180.34,77.18
646,Daijiro Matsui,175.26,90.8
647,Daiju Takase,182.88,77.18
648,Daiki Hata,167.64000000000001,63.106
649,Daisuke Nakamura,170.18,69.916
650,Daisuke Sugie,167.64000000000001,72.64
651,Dakota Cochrane,172.72,70.37
652,Dalcha Lungiambula,177.8,93.07000000000001
653,Dale Hartt,177.8,70.37
654,Damacio Page,167.64000000000001,61.29
655,Damian Grabowski,185.42,109.414
656,Damian Stasiak,165.1,61.29
657,Damien Brown,177.8,70.37
658,Damien Trites,180.34,74.91
659,Damir Hadzovic,175.26,70.37
660,Damir Ismagulov,177.8,70.37
661,Damir Mirenic,182.88,83.99000000000001
662,Damon Jackson,180.34,65.83
663,Dan Barrera,175.26,77.18
664,Dan Bobish,187.96,156.63
665,Dan Charles,187.96,103.512
666,Dan Christison,203.2,120.31
667,Dan Cramer,187.96,77.18
668,Dan Evensen,190.5,113.5
669,Dan Hardy,182.88,77.18
670,Dan Henderson,180.34,83.99000000000001
671,Dan Hooker,182.88,70.37
672,Dan Ige,170.18,65.83
673,Dan Lauzon,177.8,70.37
674,Dan Miller,185.42,83.99000000000001
675,Dan Moret,182.88,70.37
676,Dan O'Connor,162.56,52.21
677,Dan Severn,187.96,113.5
678,Dan Stittgen,185.42,77.18
679,Daniel Acacio,172.72,81.72
680,Daniel Cormier,180.34,106.69
681,Daniel Gallemore,195.57999999999998,120.31
682,Daniel Gracie,187.96,102.15
683,Daniel Jolly,185.42,93.07000000000001
684,Daniel Kelly,182.88,83.99000000000001
685,Daniel McWilliams,185.42,83.99000000000001
686,Daniel Omielanczuk,182.88,112.138
687,Daniel Pineda,170.18,65.83
688,Daniel Puder,190.5,106.69
689,Daniel Roberts,177.8,77.18
690,Daniel Rodriguez,182.88,70.37
691,Daniel Sarafian,175.26,83.99000000000001
692,Daniel Spitz,200.66,111.23
